task,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,monotonic_cst,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start
0,True,0.0,balanced,gini,7,sqrt,,15,0.0,1,10,0.0,,300,,False,42,0,False
1,True,0.0,,gini,7,log2,,15,0.0,1,2,0.0,,300,,False,42,0,False
2,True,0.0,,gini,15,log2,,15,0.0,1,2,0.0,,300,,False,42,0,False
3,True,0.0,,gini,10,log2,,15,0.0,1,2,0.0,,200,,False,42,0,False
4,True,0.0,balanced,gini,10,sqrt,,15,0.0,1,2,0.0,,300,,False,42,0,False
5,True,0.0,,gini,7,sqrt,,15,0.0,1,2,0.0,,300,,False,42,0,False
6,True,0.0,balanced,gini,7,log2,,5,0.0,1,5,0.0,,200,,False,42,0,False
7,True,0.0,balanced,gini,7,sqrt,,15,0.0,1,2,0.0,,300,,False,42,0,False
8,True,0.0,,gini,10,sqrt,,15,0.0,1,2,0.0,,200,,False,42,0,False
9,True,0.0,balanced,gini,7,log2,,15,0.0,1,10,0.0,,200,,False,42,0,False
10,True,0.0,balanced,gini,7,log2,,15,0.0,1,5,0.0,,100,,False,42,0,False
